jpt_hard,jpt_hard_m,sub_hard,sub_hard_m,jpt_full,jpt_full_m,sum_pv,sum_pu,eta,phi,area,rho,sigma,rho_m,sigma_m,R,n_pv,n_pu
   290.60793855,    19.77342923,   289.70151469,    17.71263338,   291.16870211,    20.44785311,   181.72444979,     0.00000000,    -1.25900012,     2.61528381,     0.49866550,     3.00223424,     1.35267428,     0.22807432,     0.15006152,     0.40000000,   502.00000000,    68.00000000
   243.23354398,    14.63528943,   241.71163405,    11.09817778,   243.23354398,    14.63528943,   242.76119388,     0.00000000,     0.00165155,     5.47151491,     0.51861212,     3.00223424,     1.35267428,     0.22807432,     0.15006152,     0.40000000,   502.00000000,    68.00000000
    70.59061029,    14.86065104,    69.18109053,    13.87394693,    70.59061029,    14.86065104,    35.75586571,     0.00000000,    -0.44772585,     0.24289991,     0.47871888,     3.00223424,     1.35267428,     0.22807432,     0.15006152,     0.40000000,   502.00000000,    68.00000000
    38.17614603,     8.81381677,    36.82032086,     7.93485193,    38.17614603,     8.81381677,    16.92069801,     0.00000000,    -0.61221669,     0.93964146,     0.45877226,     3.00223424,     1.35267428,     0.22807432,     0.15006152,     0.40000000,   502.00000000,    68.00000000
    17.61208835,     6.61605760,    15.59039450,     5.41080327,    17.61208835,     6.61605760,    11.81885630,     0.00000000,    -1.81996619,     4.01706190,     0.69813170,     3.00223424,     1.35267428,     0.22807432,     0.15006152,     0.40000000,   502.00000000,    68.00000000
     9.69783312,     4.28560017,     9.47948106,     4.00723178,    11.20212009,     4.92152477,     5.83357434,     0.00000000,     0.86442155,     1.41246655,     0.58842529,     3.00223424,     1.35267428,     0.22807432,     0.15006152,     0.40000000,   502.00000000,    68.00000000
     7.85456416,     3.08976192,     6.99265021,     2.64549978,     7.85456416,     3.08976192,     5.52706846,     0.00000000,    -0.42296425,     6.11675619,     0.28922599,     3.00223424,     1.35267428,     0.22807432,     0.15006152,     0.40000000,   502.00000000,    68.00000000
     7.83646665,     3.38675497,     5.96303540,     2.36044011,     7.83646665,     3.38675497,     3.24685720,     0.00000000,    -2.14611206,     1.67425112,     0.63829184,     3.00223424,     1.35267428,     0.22807432,     0.15006152,     0.40000000,   502.00000000,    68.00000000
     7.35208842,     2.96924466,     5.79330576,     2.15865450,     7.35208842,     2.96924466,     0.49846086,     0.00000000,    -2.75242229,     4.45766774,     0.52858543,     3.00223424,     1.35267428,     0.22807432,     0.15006152,     0.40000000,   502.00000000,    68.00000000
   290.70966671,    19.91837760,   288.89800862,    14.71706354,   291.27043495,    20.58806719,   181.72444979,     0.00000000,    -1.25885113,     2.61524119,     0.81781142,     3.00223424,     1.35267428,     0.22807432,     0.15006152,     0.50000000,   502.00000000,    68.00000000
   247.85090679,    20.65294151,   245.55197130,    16.05407341,   247.85090679,    20.65294151,   242.76119388,     0.00000000,    -0.00559421,     5.47159870,     0.78789149,     3.00223424,     1.35267428,     0.22807432,     0.15006152,     0.50000000,   502.00000000,    68.00000000
    77.85907544,    20.76537219,    75.62733156,    19.18763609,    77.85907544,    20.76537219,    40.78007408,     0.00000000,    -0.44513193,     0.20273877,     0.76794487,     3.00223424,     1.35267428,     0.22807432,     0.15006152,     0.50000000,   502.00000000,    68.00000000
    42.23174004,    11.87936105,    40.13226415,    10.43922729,    42.23174004,    11.87936105,    18.00173225,     0.00000000,    -0.64171951,     0.94904779,     0.71807832,     3.00223424,     1.35267428,     0.22807432,     0.15006152,     0.50000000,   502.00000000,    68.00000000
    18.45470388,     7.09111085,    16.00882489,     5.56491315,    18.45470388,     7.09111085,    12.19707325,     0.00000000,    -1.80473679,     4.03234572,     0.84773135,     3.00223424,     1.35267428,     0.22807432,     0.15006152,     0.50000000,   502.00000000,    68.00000000
    11.39466396,     5.02955934,     9.33536175,     3.80820306,    11.65594590,     5.14331265,     5.83357434,     0.00000000,     0.84746199,     1.40696785,     0.79786480,     3.00223424,     1.35267428,     0.22807432,     0.15006152,     0.50000000,   502.00000000,    68.00000000
     7.83646665,     3.38675497,     5.62748941,     2.11364073,     7.83646665,     3.38675497,     3.24685720,     0.00000000,    -2.14611206,     1.67425112,     0.75797156,     3.00223424,     1.35267428,     0.22807432,     0.15006152,     0.50000000,   502.00000000,    68.00000000
     7.74851002,     3.17263947,     5.28194923,     1.66856095,     7.74851002,     3.17263947,     0.49846086,     0.00000000,    -2.76971639,     4.43891277,     0.84773135,     3.00223424,     1.35267428,     0.22807432,     0.15006152,     0.50000000,   502.00000000,    68.00000000
   293.28437454,    26.35011819,   290.68220126,    19.88439688,   293.84551516,    26.87332537,   183.36646728,     0.00000000,    -1.25969960,     2.61180409,     1.09706410,     3.00223424,     1.35267428,     0.22807432,     0.15006152,     0.60000000,   502.00000000,    68.00000000
   247.85090679,    20.65294151,   244.78613365,    12.22271827,   248.06994789,    21.04191160,   242.76119388,     0.00000000,    -0.00555762,     5.47145122,     1.14693065,     3.00223424,     1.35267428,     0.22807432,     0.15006152,     0.60000000,   502.00000000,    68.00000000
    79.58874763,    23.10322896,    76.44370268,    20.60661053,    79.58874763,    23.10322896,    42.03344911,     0.00000000,    -0.44370867,     0.21161781,     1.09706410,     3.00223424,     1.35267428,     0.22807432,     0.15006152,     0.60000000,   502.00000000,    68.00000000
    41.39080642,    10.86213883,    38.87368480,     8.71734946,    41.39080642,    10.86213883,    16.79265329,     0.00000000,    -0.65021708,     0.96052974,     0.86767797,     3.00223424,     1.35267428,     0.22807432,     0.15006152,     0.60000000,   502.00000000,    68.00000000
    18.45470388,     7.09111085,    15.35637227,     4.94787185,    18.45470388,     7.09111085,    12.19707325,     0.00000000,    -1.80473679,     4.03234572,     1.07711748,     3.00223424,     1.35267428,     0.22807432,     0.15006152,     0.60000000,   502.00000000,    68.00000000
    13.61415665,     6.26193253,    10.66893392,     4.27873765,    13.87527877,     6.36431751,     5.83357434,     0.00000000,     0.92961464,     1.40457417,     1.11701072,     3.00223424,     1.35267428,     0.22807432,     0.15006152,     0.60000000,   502.00000000,    68.00000000
     9.15171214,     4.00796513,     6.01067398,     1.89038488,     9.15171214,     4.00796513,     1.96831946,     0.00000000,    -2.80269618,     4.36234633,     1.09706410,     3.00223424,     1.35267428,     0.22807432,     0.15006152,     0.60000000,   502.00000000,    68.00000000
     8.79117916,     4.30979351,     5.79463515,     2.40352821,     8.79117916,     4.30979351,     3.24685720,     0.00000000,    -2.12845909,     1.64940177,     1.03722424,     3.00223424,     1.35267428,     0.22807432,     0.15006152,     0.60000000,   502.00000000,    68.00000000
     8.23807047,     2.92355930,     4.62318772,     0.00000292,     8.23807047,     2.92355930,     3.49407169,     0.00000000,    -4.41949325,     3.25952411,     1.27658368,     3.00223424,     1.35267428,     0.22807432,     0.15006152,     0.60000000,   502.00000000,    68.00000000
     8.22915674,     5.75035004,     4.83018624,     2.29942350,     7.98827721,     4.28238743,     4.70133264,     1.32023252,     1.78643497,     4.26662730,     1.09706410,     3.00223424,     1.35267428,     0.22807432,     0.15006152,     0.60000000,   502.00000000,    68.00000000
     7.26762731,     5.53147174,     3.93205690,     3.36977397,     7.26762731,     5.53147174,     3.79229364,     0.00000000,    -2.47917762,     3.22351541,     1.15690396,     3.00223424,     1.35267428,     0.22807432,     0.15006152,     0.60000000,   502.00000000,    68.00000000
     7.05315984,     6.01522493,     4.18952727,     4.06081450,     7.62110642,     6.32841154,     4.85230942,     0.44457064,     3.19263946,     4.22208171,     1.20677051,     3.00223424,     1.35267428,     0.22807432,     0.15006152,     0.60000000,   502.00000000,    68.00000000
   290.60793855,    19.77342923,   292.42985916,    20.15730575,   294.37616765,    23.45908259,   181.72444979,     0.00000000,    -1.25525010,     2.61531129,     0.49866550,     3.98271263,     1.81631185,     0.31377513,     0.18814152,     0.40000000,   502.00000000,   162.00000000
   243.23354398,    14.63528943,   241.85887998,    10.91112769,   243.87778982,    15.58865670,   242.76119388,     0.59427774,     0.00149102,     5.47230694,     0.51861212,     3.98271263,     1.81631185,     0.31377513,     0.18814152,     0.40000000,   502.00000000,   162.00000000
    70.59061029,    14.86065104,    68.83966579,    13.54276125,    70.70949166,    14.88749857,    35.75586571,     0.00000000,    -0.44745969,     0.24263573,     0.47871888,     3.98271263,     1.81631185,     0.31377513,     0.18814152,     0.40000000,   502.00000000,   162.00000000
    38.17614603,     8.81381677,    36.37753196,     7.61318362,    38.17614603,     8.81381677,    16.92069801,     0.00000000,    -0.61221669,     0.93964146,     0.45877226,     3.98271263,     1.81631185,     0.31377513,     0.18814152,     0.40000000,   502.00000000,   162.00000000
    17.61208835,     6.61605760,    14.93036516,     4.98255354,    17.61208835,     6.61605760,    11.81885630,     0.00000000,    -1.81996619,     4.01706190,     0.69813170,     3.98271263,     1.81631185,     0.31377513,     0.18814152,     0.40000000,   502.00000000,   162.00000000
     9.69783312,     4.28560017,     9.23160740,     3.79586922,    11.40416827,     4.95329935,     5.83357434,     0.55790827,     0.85063361,     1.40727396,     0.55850536,     3.98271263,     1.81631185,     0.31377513,     0.18814152,     0.40000000,   502.00000000,   162.00000000
     7.85456416,     3.08976192,     6.71124621,     2.48958823,     7.85456416,     3.08976192,     5.52706846,     0.00000000,    -0.42296425,     6.11675619,     0.28922599,     3.98271263,     1.81631185,     0.31377513,     0.18814152,     0.40000000,   502.00000000,   162.00000000
     7.35208842,     2.96924466,     5.40971142,     1.89744192,     7.51452933,     3.02172834,     0.49846086,     0.00000000,    -2.74767589,     4.45453052,     0.53855874,     3.98271263,     1.81631185,     0.31377513,     0.18814152,     0.40000000,   502.00000000,   162.00000000
   290.70966671,    19.91837760,   292.30975396,    21.71421465,   295.49674149,    27.64801928,   181.72444979,     0.00000000,    -1.25530981,     2.61661169,     0.82778473,     3.98271263,     1.81631185,     0.31377513,     0.18814152,     0.50000000,   502.00000000,   162.00000000
   247.85090679,    20.65294151,   245.44546639,    15.08745040,   248.49516734,    21.36214522,   242.76119388,     0.59427774,    -0.00573111,     5.47237579,     0.78789149,     3.98271263,     1.81631185,     0.31377513,     0.18814152,     0.50000000,   502.00000000,   162.00000000
    77.85907544,    20.76537219,    75.01801696,    18.64889431,    77.97860972,    20.78988028,    40.78007408,     0.00000000,    -0.44489753,     0.20256062,     0.76794487,     3.98271263,     1.81631185,     0.31377513,     0.18814152,     0.50000000,   502.00000000,   162.00000000
    42.23174004,    11.87936105,    39.44666221,     9.91912145,    42.23174004,    11.87936105,    18.00173225,     0.00000000,    -0.64171951,     0.94904779,     0.71807832,     3.98271263,     1.81631185,     0.31377513,     0.18814152,     0.50000000,   502.00000000,   162.00000000
    18.45470388,     7.09111085,    15.29114527,     5.30303828,    18.53551984,     7.34456812,    12.19707325,     0.08639831,    -1.80307542,     4.03399764,     0.84773135,     3.98271263,     1.81631185,     0.31377513,     0.18814152,     0.50000000,   502.00000000,   162.00000000
    11.39466396,     5.02955934,     9.13872936,     3.52054699,    12.21707797,     5.32943031,     5.83357434,     0.55790827,     0.84128667,     1.41304784,     0.79786480,     3.98271263,     1.81631185,     0.31377513,     0.18814152,     0.50000000,   502.00000000,   162.00000000
     7.83646665,     3.38675497,     6.37598226,     2.35700564,     9.38456987,     4.13595276,     3.24685720,     0.68068492,    -2.19519294,     1.69157039,     0.77791818,     3.98271263,     1.81631185,     0.31377513,     0.18814152,     0.50000000,   502.00000000,   162.00000000
     7.74851002,     3.17263947,     4.66023902,     1.14310833,     7.93194601,     3.23694951,     0.49846086,     0.00000000,    -2.76576336,     4.43538780,     0.84773135,     3.98271263,     1.81631185,     0.31377513,     0.18814152,     0.50000000,   502.00000000,   162.00000000
   293.28437454,    26.35011819,   294.85362267,    28.39861259,   299.01060625,    35.42914678,   183.36646728,     0.00000000,    -1.25436528,     2.61351383,     1.08709079,     3.98271263,     1.81631185,     0.31377513,     0.18814152,     0.60000000,   502.00000000,   162.00000000
