eCM, nPile, seed, R
7000, 2, 30837, 0.4
7000, 2, 30837, 0.5
7000, 2, 30837, 0.6
7000, 3, 1211, 0.4
7000, 3, 1211, 0.5
7000, 3, 1211, 0.6
7000, 4, 20556, 0.4
7000, 4, 20556, 0.5
7000, 4, 20556, 0.6
7000, 5, 22132, 0.4
7000, 5, 22132, 0.5
7000, 5, 22132, 0.6
7000, 6, 30959, 0.4
7000, 6, 30959, 0.5
7000, 6, 30959, 0.6
7000, 7, 18419, 0.4
7000, 7, 18419, 0.5
7000, 7, 18419, 0.6
7000, 8, 24646, 0.4
7000, 8, 24646, 0.5
7000, 8, 24646, 0.6
7000, 9, 26090, 0.4
7000, 9, 26090, 0.5
7000, 9, 26090, 0.6
7000, 10, 11801, 0.4
7000, 10, 11801, 0.5
7000, 10, 11801, 0.6
7000, 11, 6600, 0.4
7000, 11, 6600, 0.5
7000, 11, 6600, 0.6
7000, 12, 18817, 0.4
7000, 12, 18817, 0.5
7000, 12, 18817, 0.6
7000, 13, 30433, 0.4
7000, 13, 30433, 0.5
7000, 13, 30433, 0.6
7000, 14, 731, 0.4
7000, 14, 731, 0.5
7000, 14, 731, 0.6
7000, 15, 21047, 0.4
7000, 15, 21047, 0.5
7000, 15, 21047, 0.6
7000, 16, 25194, 0.4
7000, 16, 25194, 0.5
7000, 16, 25194, 0.6
7000, 17, 27259, 0.4
7000, 17, 27259, 0.5
7000, 17, 27259, 0.6
7000, 18, 3859, 0.4
7000, 18, 3859, 0.5
7000, 18, 3859, 0.6
7000, 19, 23172, 0.4
7000, 19, 23172, 0.5
7000, 19, 23172, 0.6
7000, 20, 19807, 0.4
7000, 20, 19807, 0.5
7000, 20, 19807, 0.6
7000, 21, 24867, 0.4
7000, 21, 24867, 0.5
7000, 21, 24867, 0.6
7000, 22, 1033, 0.4
7000, 22, 1033, 0.5
7000, 22, 1033, 0.6
7000, 23, 9762, 0.4
7000, 23, 9762, 0.5
7000, 23, 9762, 0.6
7000, 24, 22651, 0.4
7000, 24, 22651, 0.5
7000, 24, 22651, 0.6
7000, 25, 6414, 0.4
7000, 25, 6414, 0.5
7000, 25, 6414, 0.6
7000, 26, 2405, 0.4
7000, 26, 2405, 0.5
7000, 26, 2405, 0.6
7000, 27, 25473, 0.4
7000, 27, 25473, 0.5
7000, 27, 25473, 0.6
7000, 28, 20123, 0.4
7000, 28, 20123, 0.5
7000, 28, 20123, 0.6
7000, 29, 26171, 0.4
7000, 29, 26171, 0.5
7000, 29, 26171, 0.6
7000, 30, 23772, 0.4
7000, 30, 23772, 0.5
7000, 30, 23772, 0.6
7000, 31, 17290, 0.4
7000, 31, 17290, 0.5
7000, 31, 17290, 0.6
7000, 32, 19257, 0.4
7000, 32, 19257, 0.5
7000, 32, 19257, 0.6
7000, 33, 20371, 0.4
7000, 33, 20371, 0.5
7000, 33, 20371, 0.6
7000, 34, 28061, 0.4
7000, 34, 28061, 0.5
7000, 34, 28061, 0.6
7000, 35, 11977, 0.4
7000, 35, 11977, 0.5
7000, 35, 11977, 0.6
7000, 36, 16042, 0.4
7000, 36, 16042, 0.5
7000, 36, 16042, 0.6
7000, 37, 16646, 0.4
7000, 37, 16646, 0.5
7000, 37, 16646, 0.6
7000, 38, 14239, 0.4
7000, 38, 14239, 0.5
7000, 38, 14239, 0.6
7000, 39, 25565, 0.4
7000, 39, 25565, 0.5
7000, 39, 25565, 0.6
7000, 40, 6498, 0.4
7000, 40, 6498, 0.5
7000, 40, 6498, 0.6
7000, 41, 5993, 0.4
7000, 41, 5993, 0.5
7000, 41, 5993, 0.6
7000, 42, 15844, 0.4
7000, 42, 15844, 0.5
7000, 42, 15844, 0.6
7000, 43, 2426, 0.4
7000, 43, 2426, 0.5
7000, 43, 2426, 0.6
7000, 44, 26258, 0.4
7000, 44, 26258, 0.5
7000, 44, 26258, 0.6
7000, 45, 17474, 0.4
7000, 45, 17474, 0.5
7000, 45, 17474, 0.6
7000, 46, 9049, 0.4
7000, 46, 9049, 0.5
7000, 46, 9049, 0.6
7000, 47, 20464, 0.4
7000, 47, 20464, 0.5
7000, 47, 20464, 0.6
7000, 48, 13425, 0.4
7000, 48, 13425, 0.5
7000, 48, 13425, 0.6
7000, 49, 16084, 0.4
7000, 49, 16084, 0.5
7000, 49, 16084, 0.6
7000, 50, 5329, 0.4
7000, 50, 5329, 0.5
7000, 50, 5329, 0.6
14000, 2, 31879, 0.4
14000, 2, 31879, 0.5
14000, 2, 31879, 0.6
14000, 3, 17868, 0.4
14000, 3, 17868, 0.5
14000, 3, 17868, 0.6
14000, 4, 32526, 0.4
14000, 4, 32526, 0.5
14000, 4, 32526, 0.6
14000, 5, 8595, 0.4
14000, 5, 8595, 0.5
14000, 5, 8595, 0.6
14000, 6, 23426, 0.4
14000, 6, 23426, 0.5
14000, 6, 23426, 0.6
14000, 7, 31976, 0.4
14000, 7, 31976, 0.5
14000, 7, 31976, 0.6
14000, 8, 12022, 0.4
14000, 8, 12022, 0.5
14000, 8, 12022, 0.6
14000, 9, 17408, 0.4
14000, 9, 17408, 0.5
14000, 9, 17408, 0.6
14000, 10, 7388, 0.4
14000, 10, 7388, 0.5
14000, 10, 7388, 0.6
14000, 11, 20305, 0.4
14000, 11, 20305, 0.5
14000, 11, 20305, 0.6
14000, 12, 7212, 0.4
14000, 12, 7212, 0.5
14000, 12, 7212, 0.6
14000, 13, 18010, 0.4
14000, 13, 18010, 0.5
14000, 13, 18010, 0.6
14000, 14, 3701, 0.4
14000, 14, 3701, 0.5
14000, 14, 3701, 0.6
14000, 15, 281, 0.4
14000, 15, 281, 0.5
14000, 15, 281, 0.6
14000, 16, 15585, 0.4
14000, 16, 15585, 0.5
14000, 16, 15585, 0.6
14000, 17, 4677, 0.4
14000, 17, 4677, 0.5
14000, 17, 4677, 0.6
14000, 18, 7705, 0.4
14000, 18, 7705, 0.5
14000, 18, 7705, 0.6
14000, 19, 18924, 0.4
14000, 19, 18924, 0.5
14000, 19, 18924, 0.6
14000, 20, 18339, 0.4
14000, 20, 18339, 0.5
14000, 20, 18339, 0.6
14000, 21, 26046, 0.4
14000, 21, 26046, 0.5
14000, 21, 26046, 0.6
14000, 22, 19240, 0.4
14000, 22, 19240, 0.5
14000, 22, 19240, 0.6
14000, 23, 3178, 0.4
14000, 23, 3178, 0.5
14000, 23, 3178, 0.6
14000, 24, 19958, 0.4
14000, 24, 19958, 0.5
14000, 24, 19958, 0.6
14000, 25, 5192, 0.4
14000, 25, 5192, 0.5
14000, 25, 5192, 0.6
14000, 26, 9818, 0.4
14000, 26, 9818, 0.5
14000, 26, 9818, 0.6
14000, 27, 3730, 0.4
14000, 27, 3730, 0.5
14000, 27, 3730, 0.6
14000, 28, 20146, 0.4
14000, 28, 20146, 0.5
14000, 28, 20146, 0.6
14000, 29, 19926, 0.4
14000, 29, 19926, 0.5
14000, 29, 19926, 0.6
14000, 30, 25463, 0.4
14000, 30, 25463, 0.5
14000, 30, 25463, 0.6
14000, 31, 18195, 0.4
14000, 31, 18195, 0.5
14000, 31, 18195, 0.6
14000, 32, 20118, 0.4
14000, 32, 20118, 0.5
14000, 32, 20118, 0.6
14000, 33, 776, 0.4
14000, 33, 776, 0.5
14000, 33, 776, 0.6
14000, 34, 16498, 0.4
14000, 34, 16498, 0.5
14000, 34, 16498, 0.6
14000, 35, 9967, 0.4
14000, 35, 9967, 0.5
14000, 35, 9967, 0.6
14000, 36, 15370, 0.4
14000, 36, 15370, 0.5
14000, 36, 15370, 0.6
14000, 37, 28674, 0.4
14000, 37, 28674, 0.5
14000, 37, 28674, 0.6
14000, 38, 23482, 0.4
14000, 38, 23482, 0.5
14000, 38, 23482, 0.6
14000, 39, 26312, 0.4
14000, 39, 26312, 0.5
14000, 39, 26312, 0.6
14000, 40, 3466, 0.4
14000, 40, 3466, 0.5
14000, 40, 3466, 0.6
14000, 41, 1988, 0.4
14000, 41, 1988, 0.5
14000, 41, 1988, 0.6
14000, 42, 10129, 0.4
14000, 42, 10129, 0.5
14000, 42, 10129, 0.6
14000, 43, 27266, 0.4
14000, 43, 27266, 0.5
14000, 43, 27266, 0.6
14000, 44, 8345, 0.4
14000, 44, 8345, 0.5
14000, 44, 8345, 0.6
14000, 45, 20680, 0.4
14000, 45, 20680, 0.5
14000, 45, 20680, 0.6
14000, 46, 9335, 0.4
14000, 46, 9335, 0.5
14000, 46, 9335, 0.6
14000, 47, 7719, 0.4
14000, 47, 7719, 0.5
14000, 47, 7719, 0.6
14000, 48, 17481, 0.4
14000, 48, 17481, 0.5
14000, 48, 17481, 0.6
14000, 49, 25143, 0.4
14000, 49, 25143, 0.5
14000, 49, 25143, 0.6
14000, 50, 24181, 0.4
14000, 50, 24181, 0.5
14000, 50, 24181, 0.6
